"destination_name","starting_city","ending_city","route_length","route_points","order"
"Atlanta - Boston","Atlanta","Raleigh",2,2,1
"Atlanta - Boston","Raleigh","Pittsburgh",2,2,2
"Atlanta - Boston","Pittsburgh","New York",2,2,3
"Atlanta - Boston","New York","Boston",2,2,4
"Atlanta - Calgary","Atlanta","Nashville",1,1,1
"Atlanta - Calgary","Nashville","Saint Louis",2,2,2
"Atlanta - Calgary","Saint Louis","Kansas City",2,2,3
"Atlanta - Calgary","Kansas City","Omaha",1,1,4
"Atlanta - Calgary","Omaha","Helena",5,10,5
"Atlanta - Calgary","Helena","Calgary",4,7,6
"Atlanta - Charleston","Atlanta","Charleston",2,2,1
"Atlanta - Chicago","Atlanta","Nashville",1,1,1
"Atlanta - Chicago","Nashville","Saint Louis",2,2,2
"Atlanta - Chicago","Saint Louis","Chicago",2,2,3
"Atlanta - Dallas","Atlanta","Nashville",1,1,1
"Atlanta - Dallas","Nashville","Little Rock",3,4,2
"Atlanta - Dallas","Little Rock","Dallas",2,2,3
"Atlanta - Boston","Atlanta","Raleigh",2,2,1
"Atlanta - Boston","Raleigh","Pittsburgh",2,2,2
"Atlanta - Boston","Pittsburgh","New York",2,2,3
"Atlanta - Boston","New York","Boston",2,2,4
"Atlanta - Calgary","Atlanta","Nashville",1,1,1
"Atlanta - Calgary","Nashville","Saint Louis",2,2,2
"Atlanta - Calgary","Saint Louis","Kansas City",2,2,3
"Atlanta - Calgary","Kansas City","Omaha",1,1,4
"Atlanta - Calgary","Omaha","Helena",5,10,5
"Atlanta - Calgary","Helena","Calgary",4,7,6
"Atlanta - Charleston","Atlanta","Charleston",2,2,1
"Atlanta - Chicago","Atlanta","Nashville",1,1,1
"Atlanta - Chicago","Nashville","Saint Louis",2,2,2
"Atlanta - Chicago","Saint Louis","Chicago",2,2,3
"Atlanta - Dallas","Atlanta","Nashville",1,1,1
"Atlanta - Dallas","Nashville","Little Rock",3,4,2
"Atlanta - Dallas","Little Rock","Dallas",2,2,3
"Atlanta - Denver","Atlanta","Nashville",1,1,1
"Atlanta - Denver","Nashville","Saint Louis",2,2,2
"Atlanta - Denver","Saint Louis","Kansas City",2,2,3
"Atlanta - Denver","Kansas City","Denver",4,7,4
"Atlanta - Duluth","Atlanta","Nashville",1,1,1
"Atlanta - Duluth","Nashville","Saint Louis",2,2,2
"Atlanta - Duluth","Saint Louis","Chicago",2,2,3
"Atlanta - Duluth","Chicago","Duluth",3,4,4
"Atlanta - El Paso","Atlanta","Nashville",1,1,1
"Atlanta - El Paso","Nashville","Little Rock",3,4,2
"Atlanta - El Paso","Little Rock","Dallas",2,2,3
"Atlanta - El Paso","Dallas","El Paso",4,7,4
"Atlanta - Helena","Atlanta","Nashville",1,1,1
"Atlanta - Helena","Nashville","Saint Louis",2,2,2
"Atlanta - Helena","Saint Louis","Kansas City",2,2,3
"Atlanta - Helena","Kansas City","Omaha",1,1,4
"Atlanta - Helena","Omaha","Helena",5,10,5
"Atlanta - Houston","Atlanta","New Orleans",4,7,1
"Atlanta - Houston","New Orleans","Houston",2,2,2
"Atlanta - Boston","Atlanta","Raleigh",2,2,1
"Atlanta - Boston","Raleigh","Pittsburgh",2,2,2
"Atlanta - Boston","Pittsburgh","New York",2,2,3
"Atlanta - Boston","New York","Boston",2,2,4
"Atlanta - Calgary","Atlanta","Nashville",1,1,1
"Atlanta - Calgary","Nashville","Saint Louis",2,2,2
"Atlanta - Calgary","Saint Louis","Kansas City",2,2,3
"Atlanta - Calgary","Kansas City","Omaha",1,1,4
"Atlanta - Calgary","Omaha","Helena",5,10,5
"Atlanta - Calgary","Helena","Calgary",4,7,6
"Atlanta - Charleston","Atlanta","Charleston",2,2,1
"Atlanta - Chicago","Atlanta","Nashville",1,1,1
"Atlanta - Chicago","Nashville","Saint Louis",2,2,2
"Atlanta - Chicago","Saint Louis","Chicago",2,2,3
"Atlanta - Dallas","Atlanta","Nashville",1,1,1
"Atlanta - Dallas","Nashville","Little Rock",3,4,2
"Atlanta - Dallas","Little Rock","Dallas",2,2,3
"Atlanta - Denver","Atlanta","Nashville",1,1,1
"Atlanta - Denver","Nashville","Saint Louis",2,2,2
"Atlanta - Denver","Saint Louis","Kansas City",2,2,3
"Atlanta - Denver","Kansas City","Denver",4,7,4
"Atlanta - Duluth","Atlanta","Nashville",1,1,1
"Atlanta - Duluth","Nashville","Saint Louis",2,2,2
"Atlanta - Duluth","Saint Louis","Chicago",2,2,3
"Atlanta - Duluth","Chicago","Duluth",3,4,4
"Atlanta - El Paso","Atlanta","Nashville",1,1,1
"Atlanta - El Paso","Nashville","Little Rock",3,4,2
"Atlanta - El Paso","Little Rock","Dallas",2,2,3
"Atlanta - El Paso","Dallas","El Paso",4,7,4
"Atlanta - Helena","Atlanta","Nashville",1,1,1
"Atlanta - Helena","Nashville","Saint Louis",2,2,2
"Atlanta - Helena","Saint Louis","Kansas City",2,2,3
"Atlanta - Helena","Kansas City","Omaha",1,1,4
"Atlanta - Helena","Omaha","Helena",5,10,5
"Atlanta - Houston","Atlanta","New Orleans",4,7,1
"Atlanta - Houston","New Orleans","Houston",2,2,2
"Atlanta - Kansas City","Atlanta","Nashville",1,1,1
"Atlanta - Kansas City","Nashville","Saint Louis",2,2,2
"Atlanta - Kansas City","Saint Louis","Kansas City",2,2,3
"Atlanta - Las Vegas","Atlanta","Nashville",1,1,1
"Atlanta - Las Vegas","Nashville","Saint Louis",2,2,2
"Atlanta - Las Vegas","Saint Louis","Kansas City",2,2,3
"Atlanta - Las Vegas","Kansas City","Denver",4,7,4
