id,starting_city,starting_city_id,ending_city,ending_city_id,route_name,route_length,color,color_specific
1,Atlanta,1,Nashville,18,Atlanta-Nashville,1,Grey,0
2,Atlanta,1,Charleston,4,Atlanta-Charleston,2,Grey,0
3,Atlanta,1,Raleigh,26,Atlanta-Raleigh,2,Grey,0
4,Atlanta,1,Raleigh,26,Atlanta-Raleigh,2,Grey,0
5,Atlanta,1,New Orleans,19,Atlanta-New Orleans,4,Orange,1
6,Atlanta,1,New Orleans,19,Atlanta-New Orleans,4,Yellow,1
7,Atlanta,1,Miami,16,Atlanta-Miami,5,Blue,1
8,Boston,2,Montreal,17,Boston-Montreal,2,Grey,0
9,Boston,2,Montreal,17,Boston-Montreal,2,Grey,0
10,Boston,2,New York,20,Boston-New York,2,Red,1
11,Boston,2,New York,20,Boston-New York,2,Yellow,1
12,Calgary,3,Vancouver,34,Calgary-Vancouver,3,Grey,0
13,Calgary,3,Helena,10,Calgary-Helena,4,Grey,0
14,Calgary,3,Seattle,32,Calgary-Seattle,4,Grey,0
15,Calgary,3,Winnipeg,36,Calgary-Winnipeg,6,White,1
16,Charleston,4,Atlanta,1,Atlanta-Charleston,2,Grey,0
17,Charleston,4,Raleigh,26,Charleston-Raleigh,2,Grey,0
18,Charleston,4,Miami,16,Charleston-Miami,4,Pink,1
19,Chicago,5,Saint Louis,27,Chicago-Saint Louis,2,Green,1
20,Chicago,5,Saint Louis,27,Chicago-Saint Louis,2,White,1
21,Chicago,5,Duluth,8,Chicago-Duluth,3,Red,1
22,Chicago,5,Pittsburgh,24,Chicago-Pittsburgh,3,Black,1
23,Chicago,5,Pittsburgh,24,Chicago-Pittsburgh,3,Orange,1
24,Chicago,5,Omaha,22,Chicago-Omaha,4,Blue,1
25,Chicago,5,Toronto,33,Chicago-Toronto,4,White,1
26,Dallas,6,Houston,11,Dallas-Houston,1,Grey,0
27,Dallas,6,Houston,11,Dallas-Houston,1,Grey,0
28,Dallas,6,Little Rock,14,Dallas-Little Rock,2,Grey,0
29,Dallas,6,Oklahoma City,21,Dallas-Oklahoma City,2,Grey,0
30,Dallas,6,Oklahoma City,21,Dallas-Oklahoma City,2,Grey,0
31,Dallas,6,El Paso,9,Dallas-El Paso,4,Red,1
32,Denver,7,Santa Fe,30,Denver-Santa Fe,2,Grey,0
33,Denver,7,Salt Lake City,28,Denver-Salt Lake City,3,Red,1
34,Denver,7,Salt Lake City,28,Denver-Salt Lake City,3,Yellow,1
35,Denver,7,Helena,10,Denver-Helena,4,Green,1
36,Denver,7,Kansas City,12,Denver-Kansas City,4,Black,1
37,Denver,7,Kansas City,12,Denver-Kansas City,4,Orange,1
38,Denver,7,Oklahoma City,21,Denver-Oklahoma City,4,Red,1
39,Denver,7,Omaha,22,Denver-Omaha,4,Pink,1
40,Denver,7,Phoenix,23,Denver-Phoenix,5,White,1
